id	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig	label_hjust	label_nudge
K19077	3.17431863347167	7.25733499651596	-0.766816020074173	0.875648183089693	-1.19299291490368	0.124351816910307	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K08641	0.861180082911426	1.86951330008683	-0.571953134875539	0.746246842960741	-1.1182758760209	0.253753157039259	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	lightblue	notsig	0	0.05
K18104	48.775871750335	94.9894776737882	-0.710185829590946	0.860617511351468	-0.961600052036623	0.139382488648532	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	lightblue	notsig	0	0.05
K03739	0.936543221248483	1.69306098383225	-0.315168192437048	0.432322769065236	-0.854216458700882	0.567677230934764	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltB; membrane protein involved in D-alanine export	lightblue	notsig	0	0.05
K00897	53.1605977107785	94.5258665965753	-0.571625994871659	0.746058665238595	-0.830351845012316	0.253941334761405	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphA; kanamycin kinase [EC:2.7.1.95]	lightblue	notsig	0	0.05
K19545	69.3253209935866	118.875501768626	-0.936352056814504	0.918155283458471	-0.777997134223422	0.0818447165415294	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E	lightblue	notsig	0	0.05
K18856	0.472520189441581	0.808606644440656	-0.540127593532893	0.724380580221498	-0.775062085597514	0.275619419778502	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]	lightblue	notsig	0	0.05
K18230	0.503718476259405	0.835917242595283	-0.384725609541781	0.573090365317638	-0.730742470173333	0.426909634682362	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	lightblue	notsig	0	0.05
K08217	511.206614715784	793.396941391349	-1.35097517676205	0.96940399999811	-0.634136331750119	0.0305960000018901	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mef; MFS transporter, DHA3 family, macrolide efflux protein	blue	sig	0	0.05
K18345	0.577672154924033	0.877692239825959	-0.37091421899309	0.553016451792892	-0.603464196444748	0.446983548207108	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K15632	0.695108974805267	1.03993350731237	-0.269116549814328	0.318449014759855	-0.58118020899297	0.681550985240145	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]	lightblue	notsig	0	0.05
K00561	588.571702342369	877.756986961503	-0.677320231082266	0.841018258495479	-0.57660339373018	0.158981741504521	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	lightblue	notsig	0	0.05
K02547	5.80912335565482	8.6578790779824	-0.367751088473627	0.547191212458802	-0.575693185454345	0.452808787541198	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecR1; methicillin resistance protein	lightblue	notsig	0	0.05
K18898	27.6647630574107	40.4561612125393	-0.439473456038389	0.639808662127454	-0.548309865072278	0.360191337872546	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtE; membrane fusion protein, multidrug efflux system	lightblue	notsig	0	0.05
K18698	0.601013562269558	0.844231442173684	-0.251788037937343	0.279321921581901	-0.490241014703234	0.720678078418099	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	lightblue	notsig	0	0.05
K18347	0.50038945761052	0.70014129488303	-0.288144126089625	0.363680816117003	-0.484594705831187	0.636319183882997	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	lightblue	notsig	0	0.05
K03367	715.302068794031	945.69211073512	-0.439564487639527	0.639951356118309	-0.402817947260847	0.360048643881691	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	lightblue	notsig	0	0.05
K12340	17.9303734098743	23.5089942003844	-0.280529244931217	0.344864985868065	-0.390807283175004	0.655135014131935	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein	lightblue	notsig	0	0.05
K19078	6.67890585940135	8.75350964406475	-0.27133025429657	0.323459350855222	-0.390249789777284	0.676540649144778	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graR; two-component system, OmpR family, response regulator protein GraR	lightblue	notsig	0	0.05
K19271	6.23734088366118	7.91028324562254	-0.224675823904231	0.227539399987817	-0.34279824723043	0.772460600012183	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	lightblue	notsig	0	0.05
K19299	0.753967913369625	0.949021393617041	-0.191082228550753	0.173675606147255	-0.331937482032183	0.826324393852745	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	lightblue	notsig	0	0.05
K03585	39.9578080878461	49.6771277484855	-0.291784144570578	0.372989319590003	-0.314104316361803	0.627010680409997	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system	lightblue	notsig	0	0.05
K18346	0.801369874204774	0.941871118063723	-0.146095303505337	0.0772633256695762	-0.233061384895063	0.922736674330424	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanW; vancomycin resistance protein VanW	lightblue	notsig	0	0.05
K18140	0.568198248695611	0.665001690373398	-0.148859562192622	0.082695493022451	-0.226963622967026	0.917304506977549	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig	0	0.05
K02546	0.510928989670538	0.594453629233627	-0.144538323453083	0.0743672252527512	-0.218441480602618	0.925632774747249	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein	lightblue	notsig	0	0.05
K13632	2.37227744415104	2.73482618742082	-0.11791826256509	0.0359537334420504	-0.205176398308405	0.96404626655795	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator	lightblue	notsig	0	0.05
K07690	1.37996906798799	1.5668451628635	-0.0770016484929014	0.0227699825310277	-0.183226689000687	0.977230017468972	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	evgA, bvgA; two-component system, NarL family, response regulator EvgA	lightblue	notsig	0	0.05
K18138	5803.24120297894	6396.67414334693	-0.462919521541667	0.66960155829932	-0.140463098394645	0.33039844170068	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	lightblue	notsig	0	0.05
K18908	646.346980360487	701.37799774069	-0.423351877062978	0.61528758650022	-0.117883314769464	0.38471241349978	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mepA; MATE family, multidrug efflux pump	lightblue	notsig	0	0.05
K07644	2.88108376570925	3.05909423795587	-0.0495017134738105	0.158793134008666	-0.0864929444438239	0.841206865991334	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	lightblue	notsig	0	0.05
K00638	1.13224817769186	1.20074715203037	-0.0453640911255097	0.184006853129705	-0.084742169320237	0.815993146870295	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	lightblue	notsig	0	0.05
K18555	0.567253469602947	0.594418783538829	-0.0415218368019649	0.207785583739273	-0.0674861773687582	0.792214416260727	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qnr, mcbG; fluoroquinolone resistance protein	lightblue	notsig	0	0.05
K18899	1.58363204157272	1.59168427091876	-0.00360208303641582	0.437843863723387	-0.00731702615052861	0.562156136276613	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtF; multidrug efflux pump	lightblue	notsig	0	0.05
K19273	0.500083508186938	0.49691833062234	0.00713226419021021	0.480020697976041	0.00916026659006654	0.519979302023959	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	sat4; streptothricin acetyltransferase [EC:2.3.-.-]	pink	notsig	1	-0.05
K07660	0.51983371920959	0.508317947939107	0.025767280920642	0.519403314593042	0.0323190467325423	0.480596685406958	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoP; two-component system, OmpR family, response regulator PhoP	pink	notsig	1	-0.05
K06979	0.508469491739125	0.496596953937544	0.0273495497369721	0.521170988123259	0.0340858024835436	0.478829011876741	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mph; macrolide phosphotransferase	pink	notsig	1	-0.05
K00984	0.510023932657134	0.496596953937544	0.030888907454337	0.52442483285307	0.0384895342922991	0.47557516714693	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadA; streptomycin 3"-adenylyltransferase [EC:2.7.7.47]	pink	notsig	1	-0.05
K19543	0.510514600423203	0.496596953937544	0.0320061022547953	0.525244282807399	0.0398768097050983	0.474755717192601	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-VII; aminoglycoside 3'-phosphotransferase [EC:2.7.1.95]	pink	notsig	1	-0.05
K18139	78.7307076365742	76.5147565199672	0.0403592943305197	0.529044131273797	0.0411884346994339	0.470955868726203	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system	pink	notsig	1	-0.05
K07637	0.772564838823067	0.747900812529182	0.020776624312136	0.512391971317547	0.0468090678285069	0.487608028682453	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	pink	notsig	1	-0.05
K02171	0.508448162297625	0.489906835209558	0.0432227685834102	0.529617230438953	0.0535932744847241	0.470382769561047	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaI; BlaI family transcriptional regulator, penicillinase repressor	pink	notsig	1	-0.05
K18900	0.496646190454465	0.477493449439987	0.0454081001804989	0.529905313961075	0.0567375037729655	0.470094686038925	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC	pink	notsig	1	-0.05
K18782	0.507808801576564	0.487524849690092	0.0467470297189049	0.530052778908412	0.0588096441327583	0.469947221091588	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaIMP; metallo-beta-lactamase class B IMP [EC:3.5.2.6]	pink	notsig	1	-0.05
K18552	0.49169334195277	0.471649843188257	0.0469993568304589	0.530079102211078	0.0600426316365342	0.469920897788922	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cmlA, cmlB, floR; MFS transporter, DHA1 family, chloramphenicol/florfenicol resistance protein	pink	notsig	1	-0.05
K18131	0.510514600423203	0.488495754777987	0.0502500136291338	0.530406412748456	0.0636061972838238	0.469593587251544	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mexR; MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon	pink	notsig	1	-0.05
K18816	0.509722281341669	0.487524849690092	0.0510933801166829	0.530511215173288	0.0642356622041434	0.469488784826712	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	pink	notsig	1	-0.05
K18590	0.507162494993366	0.482495075384162	0.0557128175254795	0.531324676743853	0.0719338436564701	0.468675323256147	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrA12, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	pink	notsig	1	-0.05
K19272	0.512116765222131	0.483755046035018	0.0658330687977475	0.5361113786328	0.0821960794779085	0.4638886213672	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-I; aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]	pink	notsig	1	-0.05
K08160	0.512116765222131	0.479699654624248	0.0733271339018908	0.542917762061892	0.0943413887006554	0.457082237938108	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdfA, cmr; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	pink	notsig	1	-0.05
K19300	0.523111614005899	0.488495754777987	0.0778113547934617	0.548052470107436	0.0987727761053485	0.451947529892564	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-II; aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]	pink	notsig	1	-0.05
K18218	339.256618525744	315.793098653474	0.147402848167272	0.596560687873564	0.103397318455446	0.403439312126436	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tet35; tetracycline resistance efflux pump	pink	notsig	1	-0.05
K19063	0.52005133245104	0.483545033652308	0.0827022295477724	0.554153727957318	0.105003776231735	0.445846272042682	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	sat2; streptothricin acetyltransferase [EC:2.3.-.-]	pink	notsig	1	-0.05
K14188	0.506091542009081	0.466583309721145	0.0911142552142761	0.564771698682768	0.117263662482369	0.435228301317232	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	pink	notsig	1	-0.05
K09476	0.51419255349972	0.473809475914983	0.0924680177201531	0.566399209360867	0.118001665383503	0.433600790639133	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ompF; outer membrane pore protein F	pink	notsig	1	-0.05
K08151	0.523796491794222	0.458918956001618	0.144893575385692	0.596605895978193	0.190766997440937	0.403394104021807	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetA; MFS transporter, DHA1 family, tetracycline resistance protein	pink	notsig	1	-0.05
K05593	0.99747161314602	0.809313383006608	0.18654903640338	0.565712431225318	0.30157733211164	0.434287568774682	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadK; aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]	pink	notsig	1	-0.05
K08167	0.545286774486669	0.441545580516555	0.219197829287819	0.544828159014561	0.304452790211007	0.455171840985439	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein	pink	notsig	1	-0.05
K00662	17.1381172149088	13.7204728607439	0.19627534736875	0.557886677161544	0.320878421153546	0.442113322838456	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	pink	notsig	1	-0.05
K18792	0.690574949122845	0.503005719377673	0.283221354017288	0.545381881914744	0.457223196664111	0.454618118085256	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaOXA-10; beta-lactamase class D OXA-10 [EC:3.5.2.6]	pink	notsig	1	-0.05
K08168	104.236007837339	71.154605325491	0.406119268049973	0.629134287751992	0.550824695761698	0.370865712248008	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetB; MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	pink	notsig	1	-0.05
K22346	0.736467703817891	0.489097295194453	0.372801664850717	0.600304832610129	0.590500774102705	0.399695167389871	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaSME; beta-lactamase class A SME [EC:3.5.2.6]	pink	notsig	1	-0.05
K18220	454.541123723018	301.359034999861	1.08991209000228	0.928105765411325	0.59292750668504	0.0718942345886751	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetM, tetO; ribosomal protection tetracycline resistance protein	pink	notsig	1	-0.05
K18142	3.09602073166662	1.978720399132	0.318999767469737	0.564175165796798	0.645847363750887	0.435824834203202	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrF; multidrug efflux pump	pink	notsig	1	-0.05
K18231	56.1815185502652	34.0078709752633	0.611384311432215	0.779371276804848	0.724226929546298	0.220628723195152	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	msr, vmlR; macrolide transport system ATP-binding/permease protein	pink	notsig	1	-0.05
K17881	1.25578998746805	0.735338743729033	0.464614557704142	0.672713122407993	0.772114309577334	0.327286877592007	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadB; aminoglycoside 2''-adenylyltransferase [EC:2.7.7.46]	pink	notsig	1	-0.05
K07260	214.30953710142	116.560611817615	1.28132811629155	0.955895701197801	0.878615698444442	0.0441042988021988	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	red	sig	1	-0.05
K07665	228.137783197494	111.925092785024	1.54095665093962	0.954802481715376	1.02737188515463	0.0451975182846243	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	red	sig	1	-0.05
K18141	3.22378506704706	1.57204575929984	0.462462872369668	0.672087935659347	1.03611234880953	0.327912064340653	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrE; membrane fusion protein, multidrug efflux system	pink	notsig	1	-0.05
K15739	8.69565170383863	2.43407428532891	0.762023713897267	0.854030132301253	1.8369209575034	0.145969867698747	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanB, vanA, vanD; D-alanine---(R)-lactate ligase [EC:6.1.2.1]	pink	notsig	1	-0.05
K08170	55.5841178453525	14.3015366480211	1.2930726460493	0.955101779069797	1.95850255020064	0.0448982209302027	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norB, norC; MFS transporter, DHA2 family, multidrug resistance protein	red	sig	1	-0.05
